石块|[(300, 1)]
下面|[(337, 1), (648, 1)]
好转|[(347, 1)]
稍作|[(146, 1), (188, 1), (257, 1), (308, 1), (596, 1), (602, 1), (648, 2)]
马内|[(44, 1), (66, 5), (103, 2), (117, 1), (125, 6), (167, 1), (217, 1), (242, 5), (245, 4), (248, 3), (262, 1), (268, 2), (273, 1), (317, 2), (335, 1), (347, 3), (379, 1), (423, 1), (448, 1), (465, 1), (475, 1), (493, 1), (496, 1), (502, 1), (576, 1), (589, 1), (642, 1)]
阻断|[(602, 1)]
措施|[(499, 1), (546, 1)]
张开|[(365, 1)]
德维特|[(652, 1), (662, 1)]
处在|[(69, 1), (191, 1), (214, 1), (230, 1), (261, 1), (318, 1), (342, 1), (374, 1), (418, 1), (436, 1), (441, 1), (444, 2), (468, 1), (482, 1), (641, 1)]
完整|[(100, 1), (272, 1), (434, 1)]
云散|[(446, 1)]
打来|[(129, 1)]
张弓|[(351, 1), (359, 3), (645, 1)]
指示|[(475, 1)]
塞里|[(52, 2), (57, 2), (504, 1)]
奈斯|[(645, 1)]
付出|[(5, 1), (24, 2), (41, 1), (58, 1), (91, 1), (118, 1), (156, 1), (177, 1), (196, 1), (207, 1), (221, 1), (225, 1), (259, 1), (432, 2), (439, 1), (507, 2), (523, 2), (562, 1)]
大涨|[(283, 1)]
隐瞒事实|[(348, 1)]
回到|[(21, 1), (32, 1), (45, 1), (51, 1), (94, 1), (118, 1), (121, 1), (164, 2), (171, 1), (174, 1), (197, 3), (215, 1), (236, 1), (239, 1), (273, 1), (276, 1), (281, 1), (284, 1), (294, 3), (295, 2), (297, 1), (380, 1), (397, 2), (401, 1), (412, 1), (424, 1), (490, 1), (529, 1), (530, 1), (533, 1), (534, 1), (569, 1), (571, 1), (617, 1), (620, 1), (663, 1)]
划出|[(244, 1)]
威尔|[(63, 1), (307, 2), (345, 1), (371, 1), (420, 1), (617, 1)]
大规模|[(346, 1)]
乔治|[(50, 1), (82, 1)]
弥补|[(178, 1), (596, 1), (642, 1)]
金伯莉|[(424, 1)]
古挡|[(358, 1)]
坎特|[(107, 3), (125, 1), (146, 2), (167, 1), (171, 3), (207, 4), (217, 3), (260, 8), (268, 4), (273, 2), (289, 1)]
取得成功|[(83, 1), (171, 1), (268, 1), (353, 1), (362, 1)]
之星|[(78, 1)]
再有|[(68, 1), (499, 1), (663, 2)]
大黄蜂|[(1, 1), (149, 1), (367, 1)]
领取|[(613, 1)]
米奇|[(78, 19)]
恐|[]
大礼|[(651, 1)]
拜仁战|[]
隆德|[(35, 2)]
握手言和|[(409, 1), (559, 2)]
去年同期|[(374, 1)]
回想|[(206, 1), (612, 1), (624, 1), (649, 1)]
赏识|[(628, 1)]
罗在|[(68, 1)]
尾声|[(122, 1), (188, 1), (338, 1), (360, 1), (536, 2), (547, 1)]
电话|[(129, 1), (207, 1), (210, 1), (228, 3), (240, 1), (481, 1), (564, 1), (577, 1), (611, 1)]
竞以|[(358, 1)]
场球|[(121, 1), (410, 1)]
上场比赛|[(59, 1), (70, 1), (183, 1), (446, 1), (568, 1), (649, 1)]
马奇|[(442, 1)]
胡恩卡|[(368, 2)]
劲射|[(137, 2), (324, 1), (351, 1), (359, 1), (370, 2), (391, 1), (398, 1), (455, 2), (468, 1), (508, 1), (601, 3), (602, 1), (645, 1), (648, 1), (656, 1)]
卢安可|[(633, 1)]
恩|[(368, 4), (388, 1), (398, 2), (601, 1)]
补射|[(87, 1), (146, 1), (345, 1), (370, 1), (378, 1), (381, 1), (409, 1), (455, 1), (468, 1), (601, 1), (648, 2), (653, 1)]
左边|[(45, 2), (423, 1)]
竞价|[(589, 1)]
萌芽|[(647, 1)]
英雄|[(121, 2), (353, 1), (568, 1)]
身上|[(14, 1), (16, 1), (54, 1), (75, 1), (94, 1), (98, 1), (127, 1), (156, 1), (162, 1), (171, 1), (207, 3), (214, 1), (241, 1), (272, 1), (273, 1), (279, 1), (318, 1), (348, 1), (351, 1), (359, 2), (370, 1), (383, 1), (390, 1), (403, 1), (415, 1), (417, 1), (432, 1), (549, 1), (550, 1), (552, 1), (568, 1), (617, 1), (639, 1), (648, 1)]
一对|[(268, 1), (424, 1)]
达多|[(85, 1), (87, 1)]
年轻人|[(403, 3), (580, 1)]
胡恩卡右|[(368, 1)]
里安|[(508, 1)]
主队|[(146, 1), (257, 1)]
门庭|[(8, 1)]
竞官|[(234, 1), (521, 1)]
脱罪|[]
土著|[(110, 1)]
太过|[(261, 2), (273, 1), (510, 1)]
太远|[(171, 1)]
起色|[(113, 1)]
放弃|[(17, 2), (23, 1), (30, 1), (32, 1), (42, 1), (45, 1), (51, 1), (64, 1), (77, 1), (86, 2), (89, 1), (96, 1), (98, 1), (118, 1), (148, 3), (239, 1), (301, 1), (379, 1), (419, 1), (437, 1), (505, 1), (518, 2), (551, 1), (552, 2), (553, 1), (555, 1), (602, 1), (663, 1)]
拉里|[(577, 1)]
放开|[(415, 1)]
逐步|[(84, 1), (279, 1)]
寄|[(583, 1)]
阿尔克|[(126, 1)]
富|[(336, 1), (358, 2)]
精神力|[(113, 1)]
违反规定|[(109, 1)]
大卫|[(8, 1), (94, 2), (171, 2), (188, 1), (202, 1), (215, 3), (260, 2), (268, 2), (270, 5), (289, 1), (351, 1), (359, 1), (496, 1), (572, 1), (592, 1), (601, 1)]
手球|[(324, 1), (358, 1), (409, 1), (602, 2)]
竞是|[(251, 1)]
斯韦尔|[(257, 1), (369, 1), (508, 1), (652, 1), (662, 1)]
中分|[(612, 1)]
脚背|[(530, 1)]
尚未|[(602, 1)]
争夺者|[(603, 1)]
迄今为止|[(207, 1), (420, 1)]
知道|[(16, 1), (20, 1), (24, 2), (83, 1), (92, 2), (94, 1), (100, 2), (129, 1), (149, 1), (156, 1), (157, 2), (161, 1), (166, 2), (171, 11), (174, 1), (191, 4), (206, 2), (207, 1), (209, 1), (214, 1), (215, 1), (230, 3), (231, 1), (240, 1), (243, 1), (251, 1), (252, 1), (253, 1), (266, 1), (269, 2), (270, 1), (272, 2), (277, 1), (288, 1), (292, 1), (293, 1), (294, 1), (311, 1), (314, 1), (315, 1), (318, 2), (320, 1), (347, 1), (350, 1), (362, 1), (363, 2), (371, 1), (374, 1), (380, 1), (383, 1), (384, 1), (385, 2), (399, 1), (404, 1), (406, 1), (407, 2), (411, 1), (415, 6), (416, 1), (418, 2), (432, 12), (436, 1), (446, 4), (450, 1), (456, 3), (459, 1), (463, 1), (491, 1), (500, 2), (512, 1), (515, 4), (536, 1), (550, 1), (568, 1), (620, 1), (624, 1), (649, 1), (651, 2), (663, 3)]
弗兰为|[(288, 1)]
眼镜|[(363, 1)]
以不高|[(268, 1)]
拉明|[(33, 1), (602, 1)]
借鞋|[]
受阻|[]
拉莫斯|[(254, 1), (333, 1), (372, 2), (378, 4), (381, 2), (425, 2), (426, 3), (497, 2), (530, 1), (664, 1)]
球速|[(308, 1)]
敏捷|[(356, 1)]
球送|[(4, 1), (331, 1), (559, 1)]
第八个|[(611, 1)]
齐尔|[(51, 2), (63, 1), (246, 1), (250, 2), (311, 1), (338, 1), (371, 1), (580, 1), (588, 1), (602, 1), (603, 3), (617, 1)]
嘉宾|[(342, 1), (497, 1)]
仅差|[(250, 1)]
总体水平|[(281, 1)]
一家|[(24, 1), (48, 2), (78, 1), (83, 1), (92, 1), (150, 1), (164, 1), (215, 1), (270, 1), (281, 2), (296, 1), (298, 1), (311, 1), (318, 3), (346, 1), (363, 2), (441, 1), (466, 1), (506, 1), (582, 1), (584, 1), (589, 1), (611, 2), (612, 2), (624, 2), (639, 1), (663, 1)]
越久|[(278, 1)]
听从命令|[(171, 1)]
齐尼|[(666, 2)]
时称|[(251, 1)]
弗里|[(239, 1), (301, 3), (454, 1), (566, 2)]
当届|[(337, 1)]
殴打|[(311, 1)]
岑|[(455, 1)]
每年|[(6, 1), (17, 1), (45, 1), (51, 1), (75, 1), (82, 1), (89, 1), (98, 1), (118, 1), (239, 1), (298, 1), (342, 2), (412, 1), (465, 1), (467, 1), (477, 1), (483, 1), (518, 1), (523, 1), (543, 1), (553, 1), (577, 1), (580, 1), (588, 1), (617, 1)]
居住|[(560, 1)]
中好|[(156, 1)]
岛|[(17, 1)]
岁|[(0, 1), (1, 2), (2, 1), (5, 1), (6, 1), (8, 1), (9, 1), (16, 2), (17, 3), (18, 1), (19, 1), (21, 1), (22, 1), (23, 1), (25, 1), (27, 1), (32, 1), (33, 1), (34, 1), (38, 1), (39, 1), (40, 1), (41, 1), (44, 1), (45, 1), (46, 1), (58, 1), (60, 1), (62, 1), (63, 1), (64, 1), (66, 1), (67, 1), (68, 1), (69, 1), (71, 1), (73, 1), (74, 1), (75, 4), (79, 1), (80, 1), (82, 1), (83, 3), (84, 1), (86, 1), (90, 1), (91, 4), (92, 1), (98, 1), (104, 1), (110, 1), (111, 1), (112, 1), (113, 1), (114, 1), (116, 1), (117, 1), (120, 1), (121, 2), (123, 1), (124, 1), (126, 1), (129, 1), (131, 1), (132, 1), (136, 1), (141, 2), (143, 1), (145, 1), (147, 1), (150, 1), (152, 1), (164, 1), (165, 2), (169, 1), (170, 1), (171, 3), (174, 1), (175, 1), (180, 1), (181, 1), (183, 1), (185, 1), (189, 1), (196, 1), (197, 1), (198, 1), (204, 1), (207, 3), (208, 1), (209, 1), (215, 1), (223, 1), (232, 1), (236, 1), (238, 1), (239, 1), (243, 1), (247, 3), (262, 1), (263, 1), (264, 1), (265, 1), (268, 1), (270, 1), (272, 1), (277, 1), (284, 1), (287, 1), (294, 1), (298, 1), (301, 1), (304, 1), (306, 1), (311, 10), (318, 1), (319, 1), (320, 1), (322, 1), (326, 1), (328, 2), (331, 1), (337, 2), (340, 1), (341, 1), (343, 1), (352, 2), (354, 1), (363, 1), (364, 2), (367, 1), (382, 1), (394, 1), (395, 1), (396, 1), (397, 1), (403, 1), (407, 1), (408, 1), (414, 1), (420, 1), (424, 1), (427, 1), (428, 1), (433, 1), (434, 1), (438, 1), (447, 1), (449, 2), (456, 2), (459, 1), (460, 2), (462, 2), (465, 1), (467, 1), (469, 1), (473, 1), (474, 1), (483, 2), (484, 1), (485, 1), (488, 1), (494, 1), (496, 1), (498, 1), (507, 1), (513, 1), (514, 1), (520, 1), (522, 1), (526, 1), (529, 1), (534, 1), (536, 1), (537, 1), (538, 3), (542, 1), (543, 3), (549, 1), (553, 1), (556, 1), (560, 1), (566, 1), (567, 1), (577, 5), (578, 1), (581, 1), (585, 1), (587, 1), (592, 2), (594, 1), (596, 1), (598, 1), (604, 1), (605, 1), (606, 1), (613, 1), (616, 1), (617, 3), (618, 3), (620, 1), (622, 1), (623, 1), (624, 1), (627, 1), (628, 1), (630, 1), (633, 1), (638, 1), (640, 2), (642, 1), (660, 1), (663, 1), (668, 1)]
毁约|[(239, 1)]
联盟|[(37, 1), (121, 1), (273, 1), (599, 1), (660, 1)]
出炉|[(85, 1), (86, 1), (125, 1)]
这项|[(184, 1), (203, 1), (255, 2), (279, 1), (296, 1), (309, 1), (346, 1), (380, 1), (414, 1), (447, 1), (648, 1)]
基克|[(368, 2)]
为时尚早|[(273, 1)]
里亚克|[(504, 1)]
转会费|[(3, 2), (4, 1), (6, 1), (14, 1), (15, 1), (17, 2), (18, 1), (21, 2), (25, 1), (26, 1), (27, 1), (28, 1), (29, 1), (41, 1), (44, 2), (45, 3), (46, 1), (47, 1), (51, 2), (52, 1), (55, 2), (56, 1), (57, 1), (62, 1), (67, 1), (71, 1), (73, 1), (75, 2), (78, 4), (82, 2), (91, 1), (92, 1), (98, 2), (104, 1), (111, 1), (116, 1), (118, 1), (120, 1), (122, 5), (124, 1), (126, 1), (127, 1), (128, 1), (130, 1), (131, 1), (139, 1), (142, 1), (154, 2), (181, 1), (207, 4), (212, 2), (239, 1), (240, 1), (242, 1), (268, 2), (273, 1), (304, 1), (322, 1), (330, 2), (341, 2), (364, 3), (375, 1), (379, 1), (382, 1), (403, 2), (412, 2), (414, 1), (433, 1), (466, 1), (467, 2), (470, 2), (496, 2), (502, 1), (507, 1), (513, 1), (518, 2), (522, 1), (523, 3), (525, 1), (528, 1), (540, 1), (543, 2), (545, 1), (549, 1), (550, 1), (551, 1), (555, 1), (558, 1), (560, 1), (563, 3), (564, 1), (577, 3), (580, 1), (581, 1), (588, 1), (597, 1), (606, 2), (610, 1), (616, 1), (622, 1), (626, 2), (639, 1), (667, 1), (668, 1)]
欢乐|[(171, 5), (315, 1), (639, 1)]
消失|[(197, 1)]
球员|[(0, 1), (4, 1), (5, 4), (6, 1), (12, 2), (13, 2), (14, 1), (16, 1), (17, 2), (18, 1), (19, 7), (21, 2), (22, 4), (23, 1), (25, 2), (26, 1), (27, 1), (30, 2), (31, 1), (32, 1), (35, 3), (42, 3), (44, 1), (45, 2), (46, 1), (48, 1), (51, 6), (52, 1), (53, 1), (57, 2), (58, 4), (60, 1), (62, 2), (63, 2), (64, 1), (68, 2), (70, 1), (73, 1), (74, 3), (75, 2), (78, 3), (80, 1), (82, 3), (83, 3), (87, 1), (89, 5), (91, 1), (92, 3), (94, 6), (96, 1), (98, 5), (100, 8), (101, 1), (102, 1), (103, 1), (104, 3), (107, 2), (113, 6), (117, 5), (118, 4), (121, 2), (122, 3), (123, 1), (124, 1), (125, 8), (127, 1), (128, 1), (129, 9), (131, 2), (132, 1), (133, 1), (135, 2), (136, 2), (137, 1), (138, 5), (139, 1), (140, 1), (141, 1), (143, 1), (144, 4), (148, 4), (149, 4), (152, 3), (154, 2), (155, 1), (156, 2), (157, 6), (159, 2), (162, 1), (163, 2), (164, 1), (169, 2), (171, 15), (172, 1), (173, 1), (174, 8), (176, 2), (177, 2), (180, 1), (183, 3), (187, 1), (189, 1), (190, 1), (191, 3), (193, 3), (197, 3), (198, 5), (199, 1), (200, 1), (206, 4), (207, 6), (209, 3), (212, 2), (213, 1), (214, 1), (215, 1), (217, 2), (219, 2), (223, 1), (224, 1), (225, 2), (226, 1), (228, 2), (231, 1), (232, 5), (233, 2), (234, 1), (235, 3), (237, 3), (238, 3), (239, 1), (240, 3), (242, 3), (243, 5), (245, 7), (247, 1), (248, 4), (251, 1), (253, 1), (255, 1), (257, 1), (259, 3), (260, 9), (261, 2), (263, 2), (264, 1), (266, 2), (268, 4), (270, 3), (272, 2), (273, 11), (274, 2), (275, 1), (276, 1), (279, 5), (280, 1), (281, 5), (282, 1), (285, 6), (290, 1), (297, 1), (298, 6), (301, 2), (308, 1), (311, 23), (314, 1), (316, 1), (317, 1), (324, 1), (327, 1), (328, 1), (331, 1), (337, 2), (338, 1), (339, 2), (342, 4), (343, 1), (344, 1), (346, 3), (347, 1), (349, 1), (350, 7), (351, 1), (352, 1), (353, 1), (354, 1), (355, 1), (358, 1), (359, 2), (360, 6), (362, 1), (363, 1), (364, 2), (365, 1), (367, 1), (368, 1), (371, 1), (375, 1), (376, 1), (378, 1), (380, 3), (383, 2), (384, 1), (386, 1), (390, 1), (391, 1), (398, 1), (400, 1), (401, 1), (405, 5), (408, 2), (412, 3), (414, 2), (415, 6), (416, 2), (419, 4), (420, 2), (421, 2), (422, 2), (423, 3), (424, 1), (429, 2), (430, 1), (432, 5), (434, 1), (441, 1), (442, 3), (446, 10), (449, 1), (450, 2), (451, 1), (452, 1), (453, 1), (456, 4), (458, 1), (459, 3), (463, 1), (464, 2), (465, 3), (467, 3), (471, 1), (472, 1), (473, 1), (475, 1), (476, 1), (481, 2), (482, 1), (483, 4), (484, 1), (488, 1), (490, 2), (492, 3), (494, 1), (496, 3), (497, 3), (500, 2), (502, 1), (505, 2), (506, 2), (507, 1), (509, 1), (512, 2), (513, 1), (515, 2), (517, 1), (518, 2), (519, 1), (522, 2), (523, 2), (525, 1), (526, 1), (531, 2), (532, 2), (533, 1), (534, 3), (538, 3), (539, 1), (540, 1), (541, 2), (543, 4), (545, 1), (547, 1), (549, 1), (551, 1), (553, 5), (555, 1), (560, 1), (561, 2), (562, 4), (563, 2), (564, 1), (568, 2), (570, 2), (572, 2), (573, 3), (574, 1), (576, 4), (577, 3), (579, 2), (580, 5), (581, 1), (582, 5), (583, 1), (584, 4), (585, 1), (587, 1), (588, 3), (589, 1), (590, 2), (592, 21), (593, 4), (595, 7), (596, 1), (600, 1), (601, 1), (605, 3), (606, 3), (609, 1), (611, 4), (613, 7), (614, 2), (615, 1), (617, 2), (622, 1), (623, 1), (625, 1), (626, 1), (628, 1), (629, 1), (633, 1), (634, 2), (638, 1), (639, 4), (640, 1), (642, 1), (647, 2), (648, 1), (649, 5), (651, 3), (654, 5), (660, 2), (663, 4), (666, 3)]
拼抢|[(188, 1), (244, 1), (275, 1), (368, 1), (432, 1), (455, 1)]
真相|[(303, 1)]
一晚|[(94, 1)]
小小|[(171, 1)]
总数|[(475, 1), (632, 7)]
转攻|[(588, 1)]
抱住|[(308, 1), (321, 1), (390, 1), (391, 1), (398, 1), (652, 1)]
月末|[(154, 1)]
小将|[(5, 2), (17, 2), (32, 1), (64, 1), (74, 1), (75, 2), (82, 2), (83, 1), (89, 1), (129, 1), (138, 1), (141, 1), (145, 1), (165, 2), (166, 2), (173, 2), (185, 1), (188, 1), (197, 2), (226, 1), (273, 2), (277, 1), (295, 1), (308, 1), (328, 1), (339, 1), (352, 2), (367, 1), (387, 1), (403, 1), (412, 2), (518, 1), (520, 1), (553, 2), (577, 2), (617, 4), (618, 2), (636, 1), (640, 2), (645, 1), (667, 1)]
音乐|[(0, 1), (158, 1), (663, 1)]
特马|[(311, 1), (322, 1)]
掩护|[(171, 1)]
人后|[(323, 1)]
佩为|[(116, 1)]
创纪录|[(505, 1)]
小心翼翼|[(171, 1)]
克莱|[(144, 1), (370, 4)]
杀死|[(384, 1)]
推给|[(307, 1)]
晒照|[]
嫌疑|[(530, 1)]
天差地别|[(415, 1)]
很久以前|[(270, 1)]
扫射|[(146, 1), (351, 2), (359, 2)]
曼达|[(582, 2)]
年内|[(100, 1)]
贬值|[(625, 1)]
已成|[(89, 1)]
记着|[(207, 1)]
谢天谢地|[(253, 1)]
多姿多彩|[(660, 1)]
了不起|[(144, 1), (279, 1), (285, 1), (416, 1), (421, 1), (480, 1)]
沉重|[(273, 1)]
阿基诺|[(10, 1)]
莫拉|[(17, 1), (51, 1), (75, 2), (82, 6), (89, 1), (98, 1), (114, 1), (118, 1), (122, 3), (239, 1), (254, 1), (333, 1), (337, 1), (372, 1), (378, 3), (381, 2), (412, 3), (416, 1), (467, 2), (483, 1), (518, 1), (523, 1), (553, 2), (559, 5), (577, 1), (588, 2), (610, 1), (617, 1), (629, 12), (664, 1)]
系统性|[(582, 1)]
亚伯拉罕|[(6, 1), (577, 1), (588, 1)]
掷|[(391, 1), (398, 1)]
欲争|[]
挑战者|[(515, 1)]
尔斯|[(345, 2), (600, 1), (609, 1)]
韦雷|[(217, 1), (260, 1), (307, 1), (455, 2), (639, 1), (648, 1)]
今年|[(16, 2), (20, 1), (30, 1), (32, 1), (34, 1), (41, 1), (44, 1), (46, 1), (90, 1), (100, 1), (109, 1), (112, 1), (114, 1), (115, 1), (125, 1), (129, 1), (138, 1), (185, 1), (192, 1), (194, 1), (195, 1), (207, 2), (222, 1), (230, 1), (235, 1), (247, 1), (260, 2), (262, 1), (268, 1), (273, 1), (276, 1), (282, 1), (290, 1), (296, 3), (303, 1), (309, 1), (343, 1), (350, 1), (416, 1), (422, 1), (432, 1), (438, 1), (446, 1), (472, 1), (485, 1), (491, 1), (496, 1), (500, 1), (510, 1), (513, 1), (519, 1), (565, 1), (569, 1), (571, 1), (576, 1), (578, 1), (580, 1), (581, 1), (596, 1), (597, 1), (613, 1), (616, 1), (626, 1), (628, 1), (660, 1)]
赛上|[(219, 1)]
严守|[(231, 1)]
一成不变|[(171, 1)]
赛中|[(539, 1)]
第五位|[(636, 1)]
沙伊|[(424, 1)]
续租|[(82, 1), (132, 1), (165, 2), (334, 1), (485, 2), (636, 1)]
解围|[(87, 1), (188, 2), (244, 1), (307, 1), (308, 2), (323, 1), (345, 1), (368, 3), (369, 1), (370, 5), (391, 1), (398, 2), (468, 1), (601, 1), (613, 1), (648, 2), (651, 1), (655, 1)]
赢取|[(201, 1), (207, 1)]
回天无力|[(323, 1)]
卡梅伦|[(244, 1)]
两件事|[(206, 1)]
世人|[(337, 1)]
全力支持|[(249, 1), (576, 1), (669, 1)]
尼用|[(174, 1)]
综合|[(45, 1), (57, 1)]
科尔|[(311, 1), (372, 1), (378, 1), (381, 1)]
波卡纳|[(352, 1)]
媒体|[(3, 1), (4, 1), (6, 2), (8, 1), (9, 2), (16, 1), (17, 3), (34, 1), (35, 1), (40, 2), (45, 1), (50, 1), (51, 1), (52, 1), (56, 1), (59, 2), (61, 1), (67, 3), (68, 1), (73, 1), (75, 3), (77, 1), (82, 2), (86, 1), (89, 4), (90, 1), (92, 1), (98, 1), (103, 1), (106, 2), (109, 1), (111, 2), (118, 2), (122, 1), (127, 2), (128, 2), (139, 1), (142, 1), (147, 2), (161, 1), (165, 1), (168, 1), (182, 1), (198, 1), (207, 1), (223, 1), (228, 1), (243, 1), (254, 1), (256, 2), (258, 2), (265, 1), (270, 1), (285, 1), (286, 1), (290, 1), (294, 1), (340, 1), (343, 1), (350, 1), (361, 1), (366, 1), (396, 1), (403, 1), (412, 2), (413, 2), (429, 1), (432, 1), (433, 1), (447, 1), (453, 1), (467, 1), (483, 2), (489, 1), (499, 1), (506, 1), (517, 1), (518, 2), (523, 1), (524, 1), (528, 1), (537, 1), (543, 2), (545, 1), (546, 1), (548, 1), (549, 1), (553, 1), (555, 2), (556, 2), (561, 1), (575, 2), (577, 2), (579, 1), (593, 1), (609, 1), (621, 1), (622, 1), (625, 1), (629, 1), (630, 1)]
安泽|[(648, 2)]
淘汰|[(94, 1), (178, 1), (207, 1), (315, 2), (342, 1), (446, 1), (530, 1)]
我过|[(294, 1)]
塞尔吉|[(254, 1)]
波澜壮阔|[(273, 1), (418, 1)]
本能|[(171, 1), (273, 1), (286, 1)]
点|[(146, 1), (171, 1), (179, 1), (183, 1), (188, 1), (191, 1), (269, 1), (307, 1), (308, 1), (328, 1), (333, 1), (345, 1), (363, 1), (390, 2), (398, 1), (432, 1), (645, 1)]
师罗尔|[(196, 1)]
改动|[(37, 1)]
悲观主义|[(171, 2)]
保持平衡|[(384, 1)]
炒|[(311, 1)]
登贝莱|[(5, 1), (45, 1), (75, 1), (89, 1), (141, 4), (146, 1), (307, 3), (310, 1), (523, 1), (543, 1), (580, 1), (648, 2)]
范戴克后|[(512, 1)]
贝伦格尔|[(336, 1), (358, 1)]
长河|[(624, 1)]
下次|[(91, 1)]
共和|[(588, 1)]
亚纳|[(409, 1)]
接应|[(418, 1)]
排|[(100, 1), (187, 1), (192, 1), (286, 1), (380, 1), (596, 1), (631, 1), (651, 1)]
莱万|[(6, 2), (74, 1), (457, 1)]
拉巴特|[(370, 3)]
接到|[(129, 1), (146, 1), (207, 1), (391, 2), (398, 3), (564, 1), (577, 1), (611, 1), (652, 1)]
拉维亚|[(145, 2), (663, 1)]
处境|[(22, 1), (561, 1), (668, 1)]
各级|[(91, 1), (344, 1)]
天空|[(6, 2), (17, 5), (45, 6), (46, 1), (51, 2), (58, 1), (69, 1), (71, 2), (75, 1), (82, 1), (89, 1), (98, 4), (100, 2), (118, 7), (124, 2), (126, 1), (128, 1), (169, 2), (193, 2), (205, 1), (235, 1), (239, 2), (252, 1), (258, 1), (273, 1), (286, 1), (287, 1), (309, 1), (376, 1), (404, 1), (405, 1), (406, 1), (412, 2), (417, 1), (423, 1), (432, 1), (435, 1), (449, 2), (466, 1), (467, 1), (476, 1), (479, 2), (483, 5), (497, 1), (499, 1), (502, 2), (513, 1), (518, 1), (523, 3), (533, 2), (535, 2), (540, 2), (543, 4), (553, 2), (566, 2), (567, 1), (577, 3), (588, 4), (590, 1), (616, 1), (617, 3), (621, 1), (642, 2)]
罗杰|[(245, 1)]
中游|[(255, 1), (614, 1)]
令人信服|[(194, 1), (446, 1)]
小时|[(78, 1), (82, 1), (134, 1), (171, 1), (175, 1), (206, 1), (231, 1), (663, 1)]
克罗斯|[(35, 2), (244, 2), (254, 1), (333, 1), (487, 2), (664, 1)]
无疑|[(28, 1), (174, 2), (268, 1), (273, 1), (316, 1), (344, 1), (458, 1), (516, 1), (525, 1), (577, 1), (589, 1), (639, 1)]
沙兹|[(455, 1)]
说出|[(459, 1)]
巴克利|[(273, 1), (303, 4), (311, 7), (639, 5)]
罗来|[(53, 1)]
过人|[(237, 1), (338, 1)]
前车之鉴|[(135, 1)]
受限于|[(358, 1)]
资格|[(13, 1), (104, 1), (116, 1), (156, 1), (187, 1), (188, 1), (192, 2), (200, 1), (214, 1), (215, 1), (232, 1), (255, 1), (271, 1), (279, 1), (280, 1), (287, 1), (293, 1), (324, 1), (349, 1), (360, 1), (384, 1), (397, 1), (419, 1), (429, 1), (447, 1), (507, 1), (562, 1), (570, 1), (580, 1), (614, 2), (636, 3), (659, 1), (669, 1)]
严肃认真|[(171, 1)]
特定|[(281, 1), (407, 1), (415, 1), (647, 1)]
手术|[(148, 2), (176, 2), (221, 2), (242, 1), (248, 1), (275, 2), (317, 1), (347, 1), (460, 1), (569, 3), (663, 1)]
全国|[(631, 1)]
鲍因|[(257, 1)]
兰是|[(521, 1)]
一队|[(165, 1)]
首选|[(193, 1), (238, 1), (383, 1), (483, 1), (500, 1), (513, 1), (544, 1), (555, 1), (560, 1), (580, 1), (588, 1), (600, 1), (606, 1), (617, 1), (639, 1)]
续签|[(290, 1), (474, 1), (572, 1)]
塔说|[(500, 3)]
兹德|[(78, 1)]
身在|[(631, 1)]
这起|[(149, 1), (348, 1), (554, 1)]
神出鬼没|[(311, 1)]
谈判|[(6, 3), (9, 1), (17, 1), (22, 2), (28, 1), (30, 1), (31, 1), (41, 1), (45, 2), (63, 2), (65, 1), (69, 1), (75, 1), (78, 1), (82, 1), (89, 2), (99, 2), (118, 2), (120, 1), (122, 1), (124, 1), (132, 1), (136, 1), (154, 3), (168, 1), (210, 2), (211, 1), (212, 1), (232, 1), (236, 1), (239, 1), (306, 2), (365, 3), (371, 1), (420, 1), (469, 1), (470, 1), (483, 1), (505, 1), (518, 1), (519, 1), (523, 2), (532, 1), (536, 4), (544, 1), (549, 1), (552, 1), (553, 1), (560, 1), (564, 1), (571, 1), (597, 1), (608, 1), (626, 1)]
奎纳|[(662, 1)]
举起|[(447, 1), (601, 1)]
从默西|[(54, 1)]
长足|[(639, 1)]
谈到|[(19, 2), (45, 1), (51, 2), (58, 1), (68, 1), (76, 1), (83, 1), (89, 1), (98, 1), (100, 1), (101, 1), (108, 2), (113, 1), (118, 1), (119, 1), (121, 1), (149, 1), (166, 1), (201, 1), (217, 1), (233, 1), (251, 1), (270, 1), (273, 2), (279, 1), (280, 1), (315, 1), (318, 1), (346, 1), (347, 1), (353, 1), (361, 1), (364, 1), (384, 1), (412, 1), (419, 1), (423, 1), (432, 1), (439, 1), (440, 1), (456, 2), (463, 1), (480, 1), (482, 1), (500, 3), (506, 1), (522, 1), (553, 1), (568, 1), (571, 1), (578, 1), (584, 1), (619, 1), (626, 1), (639, 2), (650, 1), (667, 1), (669, 1)]
苦涩|[(58, 1), (100, 1), (419, 1)]
成就奖|[(245, 2)]
只不过|[(418, 1), (596, 2)]
奥里|[(257, 1), (504, 1), (523, 1), (654, 1)]
为冬窗|[(120, 1)]
指挥官|[(238, 1)]
出乎意料|[(273, 1)]
塔门|[(188, 2), (351, 1), (359, 2), (468, 2), (478, 1), (601, 1)]
场面|[(146, 2), (278, 1), (415, 1), (601, 1), (648, 1)]
尼尔|[(239, 2), (409, 1), (455, 1)]
虎视眈眈|[(606, 1)]
厄齐尔送|[(602, 1)]
调兵遣将|[(645, 1)]
协会|[(182, 1), (207, 1), (260, 4)]
